structid,chain,unp,gene,offset,hybrid,resolution,seq_length
5C0C,J,A0A5B9,TRBC2,-117,1,1.97,129
5C0C,E,A0A5B9,TRBC2,-117,1,1.97,129
5KSA,D,A0A5B9,TRBC2,-128,1,2.0,129
5EU6,E,A0A5B9,TRBC2,-116,1,2.02,129
5C0B,J,A0A5B9,TRBC2,-117,1,2.03,129
5C0B,E,A0A5B9,TRBC2,-117,1,2.03,129
5C07,J,A0A5B9,TRBC2,-117,1,2.11,129
5C07,E,A0A5B9,TRBC2,-117,1,2.11,129
5C08,J,A0A5B9,TRBC2,-117,1,2.33,129
5C08,E,A0A5B9,TRBC2,-117,1,2.33,129
4ZEZ,J,A0A5B9,TRBC2,-112,1,2.4,128
5BS0,E,A0A5B9,TRBC2,-114,1,2.4,129
4ZEZ,H,A0A5B9,TRBC2,-112,1,2.4,129
5C0A,E,A0A5B9,TRBC2,-117,1,2.46,129
5C0A,J,A0A5B9,TRBC2,-117,1,2.46,129
4WW2,B,A0A5B9,TRBC2,-125,0,2.48,129
5C09,J,A0A5B9,TRBC2,-117,1,2.48,129
5C09,E,A0A5B9,TRBC2,-117,1,2.48,129
5HHM,J,A0A5B9,TRBC2,-115,1,2.5,128
1BD2,E,A0A5B9,TRBC2,-118,1,2.5,129
5HHM,E,A0A5B9,TRBC2,-115,1,2.5,128
4NPJ,A,A0FGR8,ESYT2,0,0,2.1,292
4NPJ,B,A0FGR8,ESYT2,0,0,2.1,282
4P42,B,A0FGR8,ESYT2,28,0,2.44,431
4IQY,B,A1Z1Q3,MACROD2,0,0,1.55,219
4IQY,A,A1Z1Q3,MACROD2,0,0,1.55,221
3AL5,D,A2RUC4,TYW5,0,0,2.5,308
3AL5,C,A2RUC4,TYW5,0,0,2.5,284
3AL5,B,A2RUC4,TYW5,0,0,2.5,311
3AL5,A,A2RUC4,TYW5,0,0,2.5,302
4CVH,A,A4D126,ISPD,0,0,2.39,389
4V0H,D,A4D2B0,MBLAC1,-3,0,1.79,223
4V0H,C,A4D2B0,MBLAC1,-3,0,1.79,221
4V0H,B,A4D2B0,MBLAC1,-3,0,1.79,221
4V0H,A,A4D2B0,MBLAC1,-3,0,1.79,220
4J8S,A,A5YKK6,CNOT1,5,0,1.55,180
4CRU,A,A5YKK6,CNOT1,0,0,1.65,237
4CRW,A,A5YKK6,CNOT1,0,0,1.75,225
4CT7,A,A5YKK6,CNOT1,0,0,1.9,237
4CRV,A,A5YKK6,CNOT1,0,0,2.05,234
5ANR,A,A5YKK6,CNOT1,5,0,2.1,245
4CT6,A,A5YKK6,CNOT1,0,0,2.1,237
4CT4,C,A5YKK6,CNOT1,5,0,2.3,242
4CT4,A,A5YKK6,CNOT1,5,0,2.3,236
5F4Q,D,A6ND01,IZUMO1R,0,0,1.8,193
5F4Q,C,A6ND01,IZUMO1R,0,0,1.8,191
5F4Q,B,A6ND01,IZUMO1R,0,0,1.8,197
5F4Q,A,A6ND01,IZUMO1R,0,0,1.8,197
5JKA,B,A6ND01,IZUMO1R,0,0,2.0,196
5JKA,A,A6ND01,IZUMO1R,0,0,2.0,196
5F4E,B,A6ND01,IZUMO1R,0,0,2.4,204
2D3V,A,A6NI73,LILRA5,41,0,1.85,177
